name,newname
Olpidiumbrassicae_B72_2,seqqq1
B1_2,seqqq2
Mortierellaelongata_n21_10,seqqq3
Otherfungsu_N8_7,seqqq4
unculturedfungus_orolpidiumbrassicae_N11_7,seqqq5
B1_22,seqqq6
B1_32,seqqq7
unculturedfungusorOlpidiumbrassicae_N26_18,seqqq8
Olpidiumbrassicae_B1_9,seqqq9
Ambisporagerdemannii_n8_9,seqqq10
A_mella__G34_3,seqqq11
A_delicata_G11_2,seqqq12
A_delicata__G67_5,seqqq13
A_mellea__G34_6,seqqq14
A_mellea__G34_9,seqqq15
A_mellea__G34_10,seqqq16
G_tortuosum__G14_8,seqqq17
G_tortuosum__G14_1,seqqq18
G_tortuosum__G14_2,seqqq19
GlomusclonePa119_AY236283_1,seqqq20
GlomusclonePa118_AY236282_1,seqqq21
GlomusclonePa117_AY236281_1,seqqq22
GlomusclonePa116_AY236280_1,seqqq23
G_versiforme_FM876820_1,seqqq24
G_versiforme_FM876818_1,seqqq25
G_versiforme_FM876819_1,seqqq26
G_versiforme_FM876815_1,seqqq27
G_versiforme_FM876816_1,seqqq28
G_versiforme_FM876814_1,seqqq29
G_versiforme_FM876817_1,seqqq30
G_eburneum__f9_5,seqqq31
G_eburneum__f9_3,seqqq32
G_eburneum__f9_6,seqqq33
G_eburneum__f9_2,seqqq34
G_eburneum__G13_6,seqqq35
G_eburneum___Po_2,seqqq36
G_eburneum__G12_4,seqqq37
G_eburneum___Po_1,seqqq38
G_eburneum__G12_6,seqqq39
G_eburneum__B26_3,seqqq40
G_eburneum__f11_1,seqqq41
G_eburneum__f2_4,seqqq42
G_eburneum__f2_12,seqqq43
G_sp_f6_3_Glomussp_W3349,seqqq44
Glomussp_W3349_FM876807_1,seqqq45
Glomussp_W3349_FM876806_1,seqqq46
Glomussp_W3349_FM876805_1,seqqq47
Glomussp_W3349_FM876804_1,seqqq48
G_luteum_FM876812_1,seqqq49
G_luteum_FM876811_1,seqqq50
G_luteum_FM876809_1,seqqq51
G_luteum_FM876808_1,seqqq52
G_luteum_FM876810_1,seqqq53
G_etunicatum_AY236330_1,seqqq54
G_etunicatum_AY236324_1,seqqq55
G_etunicatum_AY236326_1,seqqq56
G_etunicatum_AY236323_1,seqqq57
G_etunicatum_AY236325_1,seqqq58
G_etunicatum_AY236328_1,seqqq59
G_etunicatum_AY236327_1,seqqq60
G_etunicatum_AY236329_1,seqqq61
G_hoiorG_etunicatum_G11_26,seqqq62
G_etunicatum__Ge_2,seqqq63
G_hoiorG_etunicatum_G11_14,seqqq64
G_etunicatum__Ge_3,seqqq65
G_hoiorG_etunicatum_G11_7,seqqq66
G_etunicatum__f34_5,seqqq67
G_etunicatum__f34_3,seqqq68
GlomusclonePa124_AY236287_1,seqqq69
GlomusclonePa134_AY236294_1,seqqq70
GlomusclonePa126_AY236289_1,seqqq71
GlomusclonePa125_AY236288_1,seqqq72
GlomusclonePa132_AY236292_1,seqqq73
GlomusclonePa128_AY236291_1,seqqq74
GlomusclonePa127_AY236290_1,seqqq75
GlomusclonePa133_AY236293_1,seqqq76
GlomuscloneBV_clone7a2_EF393612_1,seqqq77
Scu_calospora__B25_5,seqqq78
Scu_reticulata_AJ871271_1,seqqq79
Scu_reticulata_AJ871272_1,seqqq80
Scu_reticulata_AJ871270_1,seqqq81
Scu_heterogama_FM876839_1,seqqq82
Scu_heterogama_FM876838_1,seqqq83
Scu_heterogama_FM876837_1,seqqq84
Scu_cloneBV_clone60a14_EF393618_1,seqqq85
Scu_cloneBV_clone59a24_EF393617_1,seqqq86
Scu_cloneBV_clone59a28_EF393616_1,seqqq87
Scu_sp_W3009_FM876836_1,seqqq88
Scutellosporasp_W3009_FM876833_1,seqqq89
Scutellosporasp_W3009_FM876835_1,seqqq90
Scutellosporasp_W3009_FM876834_1,seqqq91
G_coronatum_FM876796_1,seqqq92
G_coronatum_FM876798_1,seqqq93
G_coronatum_FM876797_1,seqqq94
G_coronatum_FM876794_1,seqqq95
G_coronatum_FM876795_1,seqqq96
G_mosseae__G15_2,seqqq97
G_mosseae__Gm_4,seqqq98
G_mosseae_AY236331_1,seqqq99
G_mosseae_AY236334_1,seqqq100
G_mosseae_AY236332_1,seqqq101
G_mosseae__B22_1,seqqq102
G_mosseae__B22_18,seqqq103
G_mosseae_AY236335_1,seqqq104
G_mosseae_AY236336_1,seqqq105
G_mosseae_AY236333_1,seqqq106
Glomussp_WUM3_FM876813_1,seqqq107
G_geosporum_FJ009620_1,seqqq108
G_geosporum_FJ009621_1,seqqq109
G_geosporum_FJ009622_1,seqqq110
G_geosporum_FJ009619_1,seqqq111
G_viscosum_08_34_3,seqqq112
GlomuscloneBV_clone02a33_EF393611_1,seqqq113
GlomuscloneBV_clone7a8_EF393610_1,seqqq114
GlomuscloneBV_clone7a5_EF393609_1,seqqq115
G_viscosum_08_34_32,seqqq116
G_aggregatum__Ga_1,seqqq117
G_aggregatum__Ga_10,seqqq118
GlomuscloneBV_clone7a10_EF393607_1,seqqq119
GlomuscloneBV_clone7a13_EF393608_1,seqqq120
G_sp_08_48_20,seqqq121
G_sp_08_48_27,seqqq122
G_sp12_S08_1_13,seqqq123
G_viscosum_08_48_3,seqqq124
G_viscosum_08_6_1,seqqq125
Glomussp_0523_AY174700_1,seqqq126
GlomusclonePa171_AY236319_1,seqqq127
GlomusclonePa144_AY236304_1,seqqq128
G_constictum_08_48_12,seqqq129
G_sp_08_48_31,seqqq130
G_constrictum_08_48_17,seqqq131
GlomusclonePa165_AY236313_1,seqqq132
GlomusclonePa170_AY236318_1,seqqq133
GlomusclonePa136_AY236296_1,seqqq134
GlomusclonePa143_AY236303_1,seqqq135
GlomusclonePa138_AY236298_1,seqqq136
GlomusclonePa169_AY236317_1,seqqq137
GlomusclonePa142_AY236302_1,seqqq138
GlomusclonePa141_AY236301_1,seqqq139
GlomusclonePa146_AY236306_1,seqqq140
GlomusclonePa140_AY236300_1,seqqq141
GlomusclonePa145_AY236305_1,seqqq142
GlomusclonePa139_AY236299_1,seqqq143
GlomusclonePa147_AY236307_1,seqqq144
GlomusclonePa166_AY236314_1,seqqq145
GlomusclonePa148_AY236308_1,seqqq146
GlomusclonePa168_AY236316_1,seqqq147
