name,newname
Olpidiumbrassicae_B72_2,group1
B1_2,group1
Mortierellaelongata_n21_10,group1
Otherfungsu_N8_7,group1
unculturedfungus_orolpidiumbrassicae_N11_7,group1
B1_22,group1
B1_32,group1
unculturedfungusorOlpidiumbrassicae_N26_18,group1
Olpidiumbrassicae_B1_9,group1
Ambisporagerdemannii_n8_9,group1
A_mella__G34_3,group1
A_delicata_G11_2,group1
A_delicata__G67_5,group1
A_mellea__G34_6,group1
A_mellea__G34_9,group1
A_mellea__G34_10,group1
G_tortuosum__G14_8,group1
G_tortuosum__G14_1,group1
G_tortuosum__G14_2,group1
GlomusclonePa119_AY236283_1,group1
GlomusclonePa118_AY236282_1,group1
GlomusclonePa117_AY236281_1,group1
GlomusclonePa116_AY236280_1,group1
G_versiforme_FM876820_1,group1
G_versiforme_FM876818_1,group1
G_versiforme_FM876819_1,group1
G_versiforme_FM876815_1,group1
G_versiforme_FM876816_1,group1
G_versiforme_FM876814_1,group1
G_versiforme_FM876817_1,group1
G_eburneum__f9_5,group1
G_eburneum__f9_3,group1
G_eburneum__f9_6,group1
G_eburneum__f9_2,group1
G_eburneum__G13_6,group1
G_eburneum___Po_2,group1
G_eburneum__G12_4,group1
G_eburneum___Po_1,group1
G_eburneum__G12_6,group1
G_eburneum__B26_3,group1
G_eburneum__f11_1,group1
G_eburneum__f2_4,group1
G_eburneum__f2_12,group1
G_sp_f6_3_Glomussp_W3349,group1
Glomussp_W3349_FM876807_1,group1
Glomussp_W3349_FM876806_1,group1
Glomussp_W3349_FM876805_1,group1
Glomussp_W3349_FM876804_1,group1
G_luteum_FM876812_1,group1
G_luteum_FM876811_1,group1
G_luteum_FM876809_1,group1
G_luteum_FM876808_1,group1
G_etunicatum_AY236330_1,group2
G_etunicatum_AY236324_1,group2
G_etunicatum_AY236326_1,group2
G_etunicatum_AY236323_1,group2
G_etunicatum_AY236325_1,group2
G_etunicatum_AY236328_1,group2
G_etunicatum_AY236327_1,group2
G_etunicatum_AY236329_1,group2
G_hoiorG_etunicatum_G11_26,group2
G_etunicatum__Ge_2,group2
G_hoiorG_etunicatum_G11_14,group2
G_etunicatum__Ge_3,group2
G_hoiorG_etunicatum_G11_7,group2
G_etunicatum__f34_5,group2
G_etunicatum__f34_3,group2
GlomusclonePa124_AY236287_1,group2
GlomusclonePa134_AY236294_1,group2
GlomusclonePa126_AY236289_1,group2
GlomusclonePa125_AY236288_1,group2
GlomusclonePa132_AY236292_1,group2
GlomusclonePa128_AY236291_1,group2
GlomusclonePa127_AY236290_1,group2
GlomusclonePa133_AY236293_1,group2
GlomuscloneBV_clone7a2_EF393612_1,group2
Scu_calospora__B25_5,group2
Scu_reticulata_AJ871271_1,group2
Scu_reticulata_AJ871272_1,group2
Scu_reticulata_AJ871270_1,group2
Scu_heterogama_FM876839_1,group2
Scu_heterogama_FM876838_1,group2
Scu_heterogama_FM876837_1,group2
Scu_cloneBV_clone60a14_EF393618_1,group2
Scu_cloneBV_clone59a24_EF393617_1,group2
Scu_cloneBV_clone59a28_EF393616_1,group2
Scu_sp_W3009_FM876836_1,group2
Scutellosporasp_W3009_FM876833_1,group2
Scutellosporasp_W3009_FM876835_1,group2
Scutellosporasp_W3009_FM876834_1,group2
G_coronatum_FM876796_1,group2
G_coronatum_FM876798_1,group2
G_coronatum_FM876797_1,group2
G_coronatum_FM876794_1,group2
G_coronatum_FM876795_1,group2
G_mosseae__G15_2,group2
G_mosseae__Gm_4,group2
G_mosseae_AY236331_1,group2
G_mosseae_AY236334_1,group2
G_mosseae_AY236332_1,group2
G_mosseae__B22_1,group2
G_mosseae__B22_18,group2
